"restaurant_name","revenue","rank_position"
"Delhi Darbar 176","15768.07","1"
"Burger Factory 92","13968.69","2"
"Urban Tadka 288","13709.31","3"
"Golden Spoon 41","12118.26","4"
"Saffron Delight 71","11975.97","5"
"Saffron Delight 212","11607.92","6"
"Chai & Chat 200","10687.16","7"
"The Food Studio 147","10509.77","8"
"Mumbai Masala 252","10131.39","9"
"Pizza Junction 213","10107.61","10"
"Kolkata Kitchen 56","10022.90","11"
"Pizza Junction 161","9973.97","12"
"Spice Villa 295","9880.24","13"
"Spice Villa 253","9544.13","14"
"The Food Studio 86","9375.57","15"
"Chai & Chat 284","9245.84","16"
"Pizza Junction 156","9077.11","17"
"Punjabi Dhaba 112","9060.92","18"
"Dragon Wok 215","9055.82","19"
"Biryani House 285","8826.54","20"
"Bombay Bistro 296","8745.63","21"
"Delhi Darbar 155","8718.19","22"
"Biryani House 201","8711.30","23"
"Delhi Darbar 120","8705.74","24"
"Mumbai Masala 146","8688.91","25"
"Annapurna Bhavan 168","8523.26","26"
"Punjabi Dhaba 276","8509.97","27"
"Golden Spoon 249","8507.99","28"
"Masala Magic 55","8491.97","29"
"Masala Magic 63","8491.49","30"
"Annapurna Bhavan 300","8389.14","31"
"Golden Spoon 74","8284.23","32"
"Mughal Mahal 237","8205.84","33"
"Delhi Darbar 174","8132.84","34"
"Dragon Wok 242","8055.76","35"
"Dragon Wok 158","7876.10","36"
"The Curry Leaf 103","7793.70","37"
"Urban Tadka 259","7584.41","38"
"South Spice 93","7539.80","39"
"The Curry Leaf 142","7452.59","40"
"Punjabi Dhaba 233","7398.32","41"
"Dragon Wok 184","7388.33","42"
"South Spice 291","7350.07","43"
"Punjabi Dhaba 136","7349.76","44"
"Flavours of India 35","7344.65","45"
"Chutney Express 177","7226.17","46"
"Urban Tadka 269","7139.46","47"
"The Food Studio 90","7079.81","48"
"Chutney Express 172","7068.60","49"
"Curry Kingdom 12","7045.31","50"
"Dragon Wok 79","7039.25","51"
"Mughal Mahal 164","7026.41","52"
"Dragon Wok 52","7022.54","53"
"Annapurna Bhavan 218","6963.41","54"
"Mumbai Masala 135","6914.05","55"
"Flavours of India 251","6874.05","56"
"Curry Kingdom 91","6855.04","57"
"Masala Magic 69","6825.25","58"
"Punjabi Dhaba 196","6786.11","59"
"The Curry Leaf 230","6743.61","60"
"The Hungry Panda 85","6733.07","61"
"Burger Factory 88","6695.12","62"
"The Food Studio 104","6688.77","63"
"Dragon Wok 84","6641.95","64"
"Taste of Punjab 267","6620.19","65"
"South Spice 34","6604.03","66"
"Burger Factory 292","6601.83","67"
"Delhi Darbar 24","6541.02","68"
"Golden Spoon 293","6511.65","69"
"Kolkata Kitchen 122","6510.47","70"
"Golden Spoon 203","6501.43","71"
"Mumbai Masala 96","6484.43","72"
"Pizza Junction 228","6462.79","73"
"Chai & Chat 60","6406.27","74"
"Golden Spoon 44","6405.32","75"
"The Food Studio 77","6372.20","76"
"Burger Factory 236","6366.57","77"
"South Spice 219","6348.50","78"
"Biryani House 133","6293.45","79"
"Kolkata Kitchen 73","6274.07","80"
"Golden Spoon 67","6111.90","81"
"The Curry Leaf 193","6056.27","82"
"South Spice 243","6039.10","83"
"The Hungry Panda 268","6006.30","84"
"Royal Tandoor 54","5950.98","85"
"Annapurna Bhavan 223","5949.14","86"
"Mumbai Masala 226","5947.01","87"
"Pizza Junction 40","5936.64","88"
"South Spice 3","5915.47","89"
"Taste of Punjab 167","5909.13","90"
"Curry Kingdom 179","5881.29","91"
"Caf̩ Masaledar 232","5856.76","92"
"Royal Tandoor 143","5846.19","93"
"Chai & Chat 214","5750.24","94"
"South Spice 145","5640.29","95"
"Taste of Punjab 274","5532.58","96"
"Masala Magic 117","5521.00","97"
"Golden Spoon 255","5473.63","98"
"Bombay Bistro 31","5464.33","99"
"The Hungry Panda 46","5420.80","100"
"Masala Magic 238","5398.80","101"
"Chai & Chat 25","5303.63","102"
"Tandoori Nights 127","5299.40","103"
"Rasoi Ghar 150","5243.84","104"
"Curry Kingdom 278","5187.00","105"
"Mughal Mahal 205","5110.40","106"
"Annapurna Bhavan 115","5088.25","107"
"Pizza Junction 148","5077.08","108"
"The Food Studio 94","5065.39","109"
"Caf̩ Masaledar 47","5047.34","110"
"Rasoi Ghar 95","5007.04","111"
"Biryani House 239","4981.80","112"
"The Food Studio 99","4966.55","113"
"Urban Tadka 286","4944.24","114"
"Golden Spoon 140","4929.38","115"
"Masala Magic 21","4911.43","116"
"The Curry Leaf 154","4903.61","117"
"Flavours of India 195","4873.11","118"
"Taste of Punjab 16","4849.48","119"
"Spice Villa 159","4840.35","120"
"Mumbai Masala 244","4821.89","121"
"Rasoi Ghar 263","4792.31","122"
"Rasoi Ghar 250","4789.23","123"
"Dragon Wok 220","4780.19","124"
"Royal Tandoor 4","4757.41","125"
"Chutney Express 118","4732.16","126"
"Annapurna Bhavan 126","4721.08","127"
"Dragon Wok 297","4705.09","128"
"Taste of Punjab 248","4703.32","129"
"Dragon Wok 28","4690.60","130"
"Chai & Chat 53","4656.99","131"
"Delhi Darbar 254","4623.09","132"
"Flavours of India 61","4621.76","133"
"Pizza Junction 207","4620.17","134"
"Delhi Darbar 198","4586.16","135"
"Saffron Delight 290","4527.16","136"
"Royal Tandoor 225","4509.93","137"
"Delhi Darbar 181","4491.43","138"
"Masala Magic 162","4465.82","139"
"Rasoi Ghar 188","4464.89","140"
"Caf̩ Masaledar 66","4442.00","141"
"Biryani House 235","4410.35","142"
"Mumbai Masala 83","4382.42","143"
"Rasoi Ghar 13","4357.80","144"
"Masala Magic 80","4308.49","145"
"Curry Kingdom 261","4294.51","146"
"Taste of Punjab 280","4281.70","147"
"Madras Cafe 109","4278.52","148"
"Golden Spoon 199","4251.46","149"
"Curry Kingdom 206","4209.43","150"
"Kolkata Kitchen 240","4175.38","151"
"Taste of Punjab 124","4107.47","152"
"Flavours of India 51","4107.25","153"
"Flavours of India 186","4029.38","154"
"Chai & Chat 17","4025.86","155"
