"restaurant_name","revenue"
"South Spice 3","5915.47"
"Royal Tandoor 4","4757.41"
"Curry Kingdom 12","7045.31"
"Taste of Punjab 16","4849.48"
"Masala Magic 21","4911.43"
"Delhi Darbar 24","6541.02"
"Chai & Chat 25","5303.63"
"Dragon Wok 28","4690.60"
"Bombay Bistro 31","5464.33"
"South Spice 34","6604.03"
"Flavours of India 35","7344.65"
"Pizza Junction 40","5936.64"
"Golden Spoon 41","12118.26"
"Golden Spoon 44","6405.32"
"The Hungry Panda 46","5420.80"
"Caf̩ Masaledar 47","5047.34"
"Dragon Wok 52","7022.54"
"Chai & Chat 53","4656.99"
"Royal Tandoor 54","5950.98"
"Masala Magic 55","8491.97"
"Kolkata Kitchen 56","10022.90"
"Chai & Chat 60","6406.27"
"Flavours of India 61","4621.76"
"Masala Magic 63","8491.49"
"Golden Spoon 67","6111.90"
"Masala Magic 69","6825.25"
"Saffron Delight 71","11975.97"
"Kolkata Kitchen 73","6274.07"
"Golden Spoon 74","8284.23"
"The Food Studio 77","6372.20"
"Dragon Wok 79","7039.25"
"Dragon Wok 84","6641.95"
"The Hungry Panda 85","6733.07"
"The Food Studio 86","9375.57"
"Burger Factory 88","6695.12"
"The Food Studio 90","7079.81"
"Curry Kingdom 91","6855.04"
"Burger Factory 92","13968.69"
"South Spice 93","7539.80"
"The Food Studio 94","5065.39"
"Rasoi Ghar 95","5007.04"
"Mumbai Masala 96","6484.43"
"The Food Studio 99","4966.55"
"The Curry Leaf 103","7793.70"
"The Food Studio 104","6688.77"
"Punjabi Dhaba 112","9060.92"
"Annapurna Bhavan 115","5088.25"
"Masala Magic 117","5521.00"
"Chutney Express 118","4732.16"
"Delhi Darbar 120","8705.74"
"Kolkata Kitchen 122","6510.47"
"Annapurna Bhavan 126","4721.08"
"Tandoori Nights 127","5299.40"
"Biryani House 133","6293.45"
"Mumbai Masala 135","6914.05"
"Punjabi Dhaba 136","7349.76"
"Golden Spoon 140","4929.38"
"The Curry Leaf 142","7452.59"
"Royal Tandoor 143","5846.19"
"South Spice 145","5640.29"
"Mumbai Masala 146","8688.91"
"The Food Studio 147","10509.77"
"Pizza Junction 148","5077.08"
"Rasoi Ghar 150","5243.84"
"The Curry Leaf 154","4903.61"
"Delhi Darbar 155","8718.19"
"Pizza Junction 156","9077.11"
"Dragon Wok 158","7876.10"
"Spice Villa 159","4840.35"
"Pizza Junction 161","9973.97"
"Mughal Mahal 164","7026.41"
"Taste of Punjab 167","5909.13"
"Annapurna Bhavan 168","8523.26"
"Chutney Express 172","7068.60"
"Delhi Darbar 174","8132.84"
"Delhi Darbar 176","15768.07"
"Chutney Express 177","7226.17"
"Curry Kingdom 179","5881.29"
"Dragon Wok 184","7388.33"
"The Curry Leaf 193","6056.27"
"Flavours of India 195","4873.11"
"Punjabi Dhaba 196","6786.11"
"Delhi Darbar 198","4586.16"
"Chai & Chat 200","10687.16"
"Biryani House 201","8711.30"
"Golden Spoon 203","6501.43"
"Mughal Mahal 205","5110.40"
"Pizza Junction 207","4620.17"
"Saffron Delight 212","11607.92"
"Pizza Junction 213","10107.61"
"Chai & Chat 214","5750.24"
"Dragon Wok 215","9055.82"
"Annapurna Bhavan 218","6963.41"
"South Spice 219","6348.50"
"Dragon Wok 220","4780.19"
"Annapurna Bhavan 223","5949.14"
"Mumbai Masala 226","5947.01"
"Pizza Junction 228","6462.79"
"The Curry Leaf 230","6743.61"
"Caf̩ Masaledar 232","5856.76"
"Punjabi Dhaba 233","7398.32"
"Burger Factory 236","6366.57"
"Mughal Mahal 237","8205.84"
"Masala Magic 238","5398.80"
"Biryani House 239","4981.80"
"Dragon Wok 242","8055.76"
"South Spice 243","6039.10"
"Mumbai Masala 244","4821.89"
"Taste of Punjab 248","4703.32"
"Golden Spoon 249","8507.99"
"Rasoi Ghar 250","4789.23"
"Flavours of India 251","6874.05"
"Mumbai Masala 252","10131.39"
"Spice Villa 253","9544.13"
"Delhi Darbar 254","4623.09"
"Golden Spoon 255","5473.63"
"Urban Tadka 259","7584.41"
"Rasoi Ghar 263","4792.31"
"Taste of Punjab 267","6620.19"
"The Hungry Panda 268","6006.30"
"Urban Tadka 269","7139.46"
"Taste of Punjab 274","5532.58"
"Punjabi Dhaba 276","8509.97"
"Curry Kingdom 278","5187.00"
"Chai & Chat 284","9245.84"
"Biryani House 285","8826.54"
"Urban Tadka 286","4944.24"
"Urban Tadka 288","13709.31"
"South Spice 291","7350.07"
"Burger Factory 292","6601.83"
"Golden Spoon 293","6511.65"
"Spice Villa 295","9880.24"
"Bombay Bistro 296","8745.63"
"Dragon Wok 297","4705.09"
"Annapurna Bhavan 300","8389.14"
