"order_id","delivery_time"
1,55
3,60
5,47
7,46
14,60
16,55
19,58
23,56
29,60
30,59
33,53
37,47
39,51
40,46
41,56
42,54
44,48
45,48
49,52
52,60
54,57
56,51
57,56
58,49
59,47
61,60
63,48
64,50
66,56
70,58
71,58
76,60
77,54
80,47
82,53
84,53
85,52
89,46
93,59
96,53
98,49
107,55
112,47
114,55
115,53
118,50
123,51
131,58
140,50
144,58
148,56
149,54
150,53
152,56
156,59
157,56
159,51
160,59
163,48
165,52
166,56
167,49
168,52
169,58
175,49
176,52
177,58
178,60
182,54
183,55
186,57
188,46
198,52
199,54
201,50
203,59
213,50
215,56
223,56
225,58
226,49
227,55
230,59
232,57
234,57
235,58
237,46
240,60
241,56
242,53
245,55
250,52
253,55
254,53
260,51
263,54
266,48
267,54
270,54
274,52
275,56
284,60
287,52
293,56
295,50
297,58
302,48
303,58
308,47
309,50
311,46
312,53
315,55
316,56
319,58
321,58
323,58
330,48
331,49
333,53
336,51
340,52
341,47
344,59
345,59
347,56
349,46
353,46
354,54
355,51
356,49
357,59
366,55
367,49
368,60
369,48
370,53
373,55
375,54
385,50
386,60
390,55
392,55
395,60
397,51
401,58
402,60
403,59
404,53
405,53
409,47
417,56
420,53
422,52
426,53
429,48
433,54
438,54
443,59
444,47
446,53
449,60
451,58
453,50
454,46
455,48
457,56
458,49
462,48
466,52
470,51
471,57
474,58
476,57
480,58
482,51
485,55
489,50
496,48
497,50
501,60
507,47
510,49
513,58
516,57
518,58
523,57
527,55
529,47
530,58
531,48
535,53
536,54
537,50
539,60
541,59
542,57
544,58
545,48
554,48
555,59
560,51
563,51
572,54
574,53
577,49
578,58
583,51
584,50
591,59
593,48
596,49
599,58
602,57
610,47
613,55
614,54
617,54
621,54
623,46
624,53
630,48
631,51
632,54
634,50
636,58
638,51
639,47
640,48
642,58
643,57
644,55
646,55
647,60
653,53
658,55
660,58
663,47
667,52
669,52
671,46
676,53
677,57
679,51
682,60
684,59
686,54
690,56
693,60
696,47
697,57
701,56
704,54
705,55
707,59
712,47
714,51
717,57
718,58
720,48
722,50
724,48
726,46
727,46
732,50
737,53
740,46
741,59
742,50
743,47
745,52
751,48
755,52
756,53
759,50
760,59
764,47
766,58
767,47
769,47
772,49
775,49
781,50
784,57
786,55
787,59
788,53
789,46
791,52
797,47
799,52
806,46
807,53
808,53
810,53
816,57
819,57
821,53
822,49
823,47
824,53
825,60
826,52
828,58
829,53
834,49
835,59
836,48
838,54
839,52
841,58
846,46
847,58
849,60
851,48
854,50
855,57
858,48
859,58
861,51
862,48
865,60
871,49
875,47
877,60
879,59
882,55
884,47
886,56
887,59
888,57
890,53
894,51
897,55
899,55
901,49
904,57
905,60
907,52
908,53
910,48
913,59
923,55
925,57
926,60
928,48
931,53
932,46
934,47
936,48
937,51
939,46
941,60
942,55
943,48
944,60
946,49
953,46
955,55
958,59
959,51
961,60
962,58
964,47
968,54
969,53
971,57
972,47
973,58
975,47
976,47
978,58
983,60
984,50
985,49
995,60
997,51
998,57
999,58
1000,58
